name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,search_word,region,isin_region
彭州市老年大学小鱼洞镇分校,四川省,成都市,彭州市,四川省成都市彭州市复兴路217南80米,None,46022c83d076284249fd3fc3,None,1,"{'tag': '教育培训;小学', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=46022c83d076284249fd3fc3&output=html&source=placeapi_v2', 'children': []}","{'lat': 31.197863, 'lng': 103.76574}",http://api.map.baidu.com/place/detail?uid=46022c83d076284249fd3fc3&output=html&source=placeapi_v2,教育培训;小学,education,大学,都江堰市,False
name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,search_word,region,isin_region
成都东软学院-A9座,四川省,成都市,都江堰市,四川省成都市都江堰市东软大道,None,c61386daa751a3b931f71d0e,None,1,"{'tag': '教育培训;其他', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=c61386daa751a3b931f71d0e&output=html&source=placeapi_v2', 'overall_rating': '3.0', 'comment_num': '1', 'children': []}","{'lat': 30.895935, 'lng': 103.605336}",http://api.map.baidu.com/place/detail?uid=c61386daa751a3b931f71d0e&output=html&source=placeapi_v2,教育培训;其他,education,大学,都江堰市,True
四川外国语大学成都学院第二教学楼,四川省,成都市,都江堰市,成都市都江堰市,None,a01f3caeac74d1af932ca3c7,None,1,"{'tag': '教育培训;其他', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=a01f3caeac74d1af932ca3c7&output=html&source=placeapi_v2', 'children': []}","{'lat': 30.834178, 'lng': 103.586929}",http://api.map.baidu.com/place/detail?uid=a01f3caeac74d1af932ca3c7&output=html&source=placeapi_v2,教育培训;其他,education,大学,都江堰市,True
崇州市老年大学(怀远分校),四川省,成都市,崇州市,四川省成都市崇州市大何路,None,2f69d0ad8e2df7cb88b9881b,None,1,"{'tag': '教育培训;成人教育', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=2f69d0ad8e2df7cb88b9881b&output=html&source=placeapi_v2', 'children': []}","{'lat': 30.760201, 'lng': 103.592905}",http://api.map.baidu.com/place/detail?uid=2f69d0ad8e2df7cb88b9881b&output=html&source=placeapi_v2,教育培训;成人教育,education,大学,都江堰市,False
花园村老年大学教学辅导站,四川省,成都市,崇州市,重庆路附近,None,8375b91b2b0576427269d37d,None,1,"{'tag': '教育培训;培训机构', 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=8375b91b2b0576427269d37d&output=html&source=placeapi_v2', 'children': []}","{'lat': 30.791607, 'lng': 103.541933}",http://api.map.baidu.com/place/detail?uid=8375b91b2b0576427269d37d&output=html&source=placeapi_v2,教育培训;培训机构,education,大学,都江堰市,False
name,province,city,area,address,telephone,uid,street_id,detail,detail_info,location,detail_url,tag,type,search_word,region,isin_region
四川外国语大学成都学院,四川省,成都市,都江堰市,四川省成都市都江堰市青城山镇高尔夫大道367号,(028)87213724,416513716d31392a94ec8485,3cd6acfbeab82f344bcc4a53,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 103.58086427471, 'lat': 30.837523400175}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=416513716d31392a94ec8485&output=html&source=placeapi_v2', 'overall_rating': '4.4', 'comment_num': '16', 'children': []}","{'lat': 30.83492, 'lng': 103.584278}",http://api.map.baidu.com/place/detail?uid=416513716d31392a94ec8485&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,都江堰市,True
成都东软学院,四川省,成都市,都江堰市,四川省成都市都江堰市青城山区东软大道1号,(028)64888001,9512e65af57e10bcb6147fcf,,1,"{'tag': '教育培训;高等院校', 'navi_location': {'lng': 103.60255237006, 'lat': 30.89694815859}, 'type': 'education', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=9512e65af57e10bcb6147fcf&output=html&source=placeapi_v2', 'overall_rating': '4.4', 'comment_num': '18', 'children': []}","{'lat': 30.894435, 'lng': 103.60298}",http://api.map.baidu.com/place/detail?uid=9512e65af57e10bcb6147fcf&output=html&source=placeapi_v2,教育培训;高等院校,education,大学,都江堰市,True
四川外国语大学成都学院-钟秀苑,四川省,成都市,都江堰市,成都市都江堰市,None,c8d6d04ea969b92272210b4f,None,1,"{'tag': '房地产;宿舍', 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=c8d6d04ea969b92272210b4f&output=html&source=placeapi_v2', 'children': []}","{'lat': 30.833119, 'lng': 103.584541}",http://api.map.baidu.com/place/detail?uid=c8d6d04ea969b92272210b4f&output=html&source=placeapi_v2,房地产;宿舍,house,大学,都江堰市,True
